StockCode,Date,Quantity
20725,2010-12-01,78
20725,2010-12-02,11
20725,2010-12-03,93
20725,2010-12-05,36
20725,2010-12-06,34
20725,2010-12-07,33
20725,2010-12-08,117
20725,2010-12-09,34
20725,2010-12-10,47
20725,2010-12-12,18
20725,2010-12-13,24
20725,2010-12-14,36
20725,2010-12-15,59
20725,2010-12-16,51
20725,2010-12-17,15
20725,2010-12-19,2
20725,2010-12-20,12
20725,2010-12-21,21
20725,2010-12-22,10
20725,2010-12-23,1
20725,2011-01-04,20
20725,2011-01-05,100
20725,2011-01-06,294
20725,2011-01-07,25
20725,2011-01-09,23
20725,2011-01-10,30
20725,2011-01-11,21
20725,2011-01-12,4
20725,2011-01-13,134
20725,2011-01-14,341
20725,2011-01-16,112
20725,2011-01-17,6
20725,2011-01-18,5
20725,2011-01-19,102
20725,2011-01-20,15
20725,2011-01-24,33
20725,2011-01-25,38
20725,2011-01-26,38
20725,2011-01-27,42
20725,2011-01-28,20
20725,2011-01-31,185
20725,2011-02-01,129
20725,2011-02-02,35
20725,2011-02-03,16
20725,2011-02-04,52
20725,2011-02-07,22
20725,2011-02-08,24
20725,2011-02-09,140
20725,2011-02-10,14
20725,2011-02-11,42
20725,2011-02-13,13
20725,2011-02-14,46
20725,2011-02-15,21
20725,2011-02-16,60
20725,2011-02-17,53
20725,2011-02-18,107
20725,2011-02-20,4
20725,2011-02-21,111
20725,2011-02-22,25
20725,2011-02-23,23
20725,2011-02-24,31
20725,2011-02-25,177
20725,2011-02-27,2
20725,2011-02-28,11
20725,2011-03-01,102
20725,2011-03-02,10
20725,2011-03-03,26
20725,2011-03-04,20
20725,2011-03-06,6
20725,2011-03-07,1
20725,2011-03-08,65
20725,2011-03-09,21
20725,2011-03-10,36
20725,2011-03-11,25
20725,2011-03-14,152
20725,2011-03-15,13
20725,2011-03-16,4
20725,2011-03-17,42
20725,2011-03-18,14
20725,2011-03-20,53
20725,2011-03-21,75
20725,2011-03-22,43
20725,2011-03-23,21
20725,2011-03-24,35
20725,2011-03-25,205
20725,2011-03-28,76
20725,2011-03-29,206
20725,2011-03-30,157
20725,2011-03-31,97
20725,2011-04-01,40
20725,2011-04-03,11
20725,2011-04-04,42
20725,2011-04-05,2
20725,2011-04-06,84
20725,2011-04-07,17
20725,2011-04-08,80
20725,2011-04-10,22
20725,2011-04-11,94
20725,2011-04-12,61
20725,2011-04-13,34
20725,2011-04-14,40
20725,2011-04-15,73
20725,2011-04-17,3
20725,2011-04-18,143
20725,2011-04-19,36
20725,2011-04-20,85
20725,2011-04-21,104
20725,2011-04-26,62
20725,2011-04-27,69
20725,2011-04-28,23
20725,2011-05-01,10
20725,2011-05-03,75
20725,2011-05-04,1
20725,2011-05-05,38
20725,2011-05-06,140
20725,2011-05-08,35
20725,2011-05-09,113
20725,2011-05-10,73
20725,2011-05-11,160
20725,2011-05-12,432
20725,2011-05-13,91
20725,2011-05-15,16
20725,2011-05-16,108
20725,2011-05-17,59
20725,2011-05-18,22
20725,2011-05-19,83
20725,2011-05-20,120
20725,2011-05-22,53
20725,2011-05-23,64
20725,2011-05-24,66
20725,2011-05-25,107
20725,2011-05-26,263
20725,2011-05-27,176
20725,2011-05-29,8
20725,2011-05-31,42
20725,2011-06-01,11
20725,2011-06-02,26
20725,2011-06-03,41
20725,2011-06-05,64
20725,2011-06-06,20
20725,2011-06-07,195
20725,2011-06-08,236
20725,2011-06-09,54
20725,2011-06-10,55
20725,2011-06-12,25
20725,2011-06-13,11
20725,2011-06-14,25
20725,2011-06-15,168
20725,2011-06-16,47
20725,2011-06-17,84
20725,2011-06-19,113
20725,2011-06-20,27
20725,2011-06-21,65
20725,2011-06-22,22
20725,2011-06-23,50
20725,2011-06-24,41
20725,2011-06-26,33
20725,2011-06-27,25
20725,2011-06-28,139
20725,2011-06-29,3
20725,2011-06-30,58
20725,2011-07-01,32
20725,2011-07-03,46
20725,2011-07-04,194
20725,2011-07-05,27
20725,2011-07-06,39
20725,2011-07-07,10
20725,2011-07-08,158
20725,2011-07-10,12
20725,2011-07-11,45
20725,2011-07-12,40
20725,2011-07-13,38
20725,2011-07-14,43
20725,2011-07-15,12
20725,2011-07-17,53
20725,2011-07-18,63
20725,2011-07-19,286
20725,2011-07-20,25
20725,2011-07-21,30
20725,2011-07-22,68
20725,2011-07-24,124
20725,2011-07-25,42
20725,2011-07-26,59
20725,2011-07-27,70
20725,2011-07-28,141
20725,2011-07-29,49
20725,2011-07-31,24
20725,2011-08-01,54
20725,2011-08-02,259
20725,2011-08-03,34
20725,2011-08-04,246
20725,2011-08-05,6
20725,2011-08-07,4
20725,2011-08-08,157
20725,2011-08-09,91
20725,2011-08-10,175
20725,2011-08-11,218
20725,2011-08-12,71
20725,2011-08-14,13
20725,2011-08-15,40
20725,2011-08-16,120
20725,2011-08-17,122
20725,2011-08-18,95
20725,2011-08-19,30
20725,2011-08-21,26
20725,2011-08-22,55
20725,2011-08-23,127
20725,2011-08-24,40
20725,2011-08-25,80
20725,2011-08-26,20
20725,2011-08-28,19
20725,2011-08-30,21
20725,2011-08-31,31
20725,2011-09-01,55
20725,2011-09-02,57
20725,2011-09-04,38
20725,2011-09-05,209
20725,2011-09-06,66
20725,2011-09-07,160
20725,2011-09-08,10
20725,2011-09-09,57
20725,2011-09-11,22
20725,2011-09-12,42
20725,2011-09-13,51
20725,2011-09-14,122
20725,2011-09-15,87
20725,2011-09-16,25
20725,2011-09-18,2
20725,2011-09-19,301
20725,2011-09-20,37
20725,2011-09-21,15
20725,2011-09-22,53
20725,2011-09-23,46
20725,2011-09-25,40
20725,2011-09-26,3
20725,2011-09-27,57
20725,2011-09-28,89
20725,2011-09-29,105
20725,2011-09-30,64
20725,2011-10-03,41
20725,2011-10-04,79
20725,2011-10-05,90
20725,2011-10-06,60
20725,2011-10-07,50
20725,2011-10-09,2
20725,2011-10-10,36
20725,2011-10-11,114
20725,2011-10-12,52
20725,2011-10-13,75
20725,2011-10-14,160
20725,2011-10-16,6
20725,2011-10-17,22
20725,2011-10-18,65
20725,2011-10-19,26
20725,2011-10-20,110
20725,2011-10-21,39
20725,2011-10-23,14
20725,2011-10-24,8
20725,2011-10-25,37
20725,2011-10-26,52
20725,2011-10-27,45
20725,2011-10-28,94
20725,2011-10-30,78
20725,2011-10-31,10
20725,2011-11-01,6
20725,2011-11-02,117
20725,2011-11-03,30
20725,2011-11-04,38
20725,2011-11-06,122
20725,2011-11-07,130
20725,2011-11-08,61
20725,2011-11-09,161
20725,2011-11-10,93
20725,2011-11-11,88
20725,2011-11-13,23
20725,2011-11-14,155
20725,2011-11-15,232
20725,2011-11-16,66
20725,2011-11-17,71
20725,2011-11-18,77
20725,2011-11-20,49
20725,2011-11-21,37
20725,2011-11-22,47
20725,2011-11-23,37
20725,2011-11-24,44
20725,2011-11-25,93
20725,2011-11-27,18
20725,2011-11-28,58
20725,2011-11-29,49
20725,2011-11-30,91
20725,2011-12-01,51
20725,2011-12-02,72
20725,2011-12-04,10
20725,2011-12-05,50
20725,2011-12-06,85
20725,2011-12-07,35
20725,2011-12-08,52
20725,2011-12-09,42
22423,2010-12-01,115
22423,2010-12-02,184
22423,2010-12-03,231
22423,2010-12-05,92
22423,2010-12-06,156
22423,2010-12-07,129
22423,2010-12-08,64
22423,2010-12-09,87
22423,2010-12-10,362
22423,2010-12-12,53
22423,2010-12-13,35
22423,2010-12-14,74
22423,2010-12-15,150
22423,2010-12-16,63
22423,2010-12-17,104
22423,2010-12-19,16
22423,2010-12-20,84
22423,2010-12-21,83
22423,2010-12-22,1
22423,2010-12-23,10
22423,2011-01-04,26
22423,2011-01-05,21
22423,2011-01-06,85
22423,2011-01-07,87
22423,2011-01-09,32
22423,2011-01-10,53
22423,2011-01-11,57
22423,2011-01-12,33
22423,2011-01-13,68
22423,2011-01-14,187
22423,2011-01-16,9
22423,2011-01-17,26
22423,2011-01-18,27
22423,2011-01-19,1
22423,2011-01-20,15
22423,2011-01-21,35
22423,2011-01-23,35
22423,2011-01-24,57
22423,2011-01-25,81
22423,2011-01-26,18
22423,2011-01-27,57
22423,2011-01-28,15
22423,2011-01-30,3
22423,2011-01-31,8
22423,2011-02-01,17
22423,2011-02-02,32
22423,2011-02-03,65
22423,2011-02-04,25
22423,2011-02-06,3
22423,2011-02-07,11
22423,2011-02-08,16
22423,2011-02-09,5
22423,2011-02-10,34
22423,2011-02-11,54
22423,2011-02-13,19
22423,2011-02-14,90
22423,2011-02-15,150
22423,2011-02-16,43
22423,2011-02-17,52
22423,2011-02-18,12
22423,2011-02-20,53
22423,2011-02-21,74
22423,2011-02-22,26
22423,2011-02-23,34
22423,2011-02-24,40
22423,2011-02-25,26
22423,2011-02-27,4
22423,2011-02-28,16
22423,2011-03-01,10
22423,2011-03-02,221
22423,2011-03-03,72
22423,2011-03-04,11
22423,2011-03-06,19
22423,2011-03-07,36
22423,2011-03-08,40
22423,2011-03-09,51
22423,2011-03-10,14
22423,2011-03-11,49
22423,2011-03-14,38
22423,2011-03-15,22
22423,2011-03-16,59
22423,2011-03-17,64
22423,2011-03-18,76
22423,2011-03-20,49
22423,2011-03-21,43
22423,2011-03-22,59
22423,2011-03-23,83
22423,2011-03-24,28
22423,2011-03-25,57
22423,2011-03-27,59
22423,2011-03-28,30
22423,2011-03-29,60
22423,2011-03-30,78
22423,2011-03-31,125
22423,2011-04-01,25
22423,2011-04-03,16
22423,2011-04-04,60
22423,2011-04-05,22
22423,2011-04-06,59
22423,2011-04-07,99
22423,2011-04-08,13
22423,2011-04-10,29
22423,2011-04-11,57
22423,2011-04-12,45
22423,2011-04-13,130
22423,2011-04-14,95
22423,2011-04-15,32
22423,2011-04-17,7
22423,2011-04-18,28
22423,2011-04-19,31
22423,2011-04-20,89
22423,2011-04-21,38
22423,2011-04-26,41
22423,2011-04-27,234
22423,2011-04-28,45
22423,2011-05-01,5
22423,2011-05-03,34
22423,2011-05-04,11
22423,2011-05-05,67
22423,2011-05-06,40
22423,2011-05-08,19
22423,2011-05-09,19
22423,2011-05-10,34
22423,2011-05-11,58
22423,2011-05-12,177
22423,2011-05-13,76
22423,2011-05-15,2
22423,2011-05-16,51
22423,2011-05-17,60
22423,2011-05-18,16
22423,2011-05-19,112
22423,2011-05-20,56
22423,2011-05-22,12
22423,2011-05-23,13
22423,2011-05-24,18
22423,2011-05-25,32
22423,2011-05-26,38
22423,2011-05-27,65
22423,2011-05-29,3
22423,2011-05-31,44
22423,2011-06-01,16
22423,2011-06-02,56
22423,2011-06-03,134
22423,2011-06-05,13
22423,2011-06-06,16
22423,2011-06-07,11
22423,2011-06-08,57
22423,2011-06-09,50
22423,2011-06-10,69
22423,2011-06-12,5
22423,2011-06-13,11
22423,2011-06-14,21
22423,2011-06-15,46
22423,2011-06-16,19
22423,2011-06-17,71
22423,2011-06-19,6
22423,2011-06-20,4
22423,2011-06-21,54
22423,2011-06-22,12
22423,2011-06-23,32
22423,2011-06-24,21
22423,2011-06-26,20
22423,2011-06-27,4
22423,2011-06-28,19
22423,2011-06-29,4
22423,2011-06-30,13
22423,2011-07-01,23
22423,2011-07-03,22
22423,2011-07-04,20
22423,2011-07-05,33
22423,2011-07-06,24
22423,2011-07-07,31
22423,2011-07-08,23
22423,2011-07-11,14
22423,2011-07-12,43
22423,2011-07-13,4
22423,2011-07-14,211
22423,2011-07-15,9
22423,2011-07-17,11
22423,2011-07-18,20
22423,2011-07-19,59
22423,2011-07-20,27
22423,2011-07-21,96
22423,2011-07-22,86
22423,2011-07-24,53
22423,2011-07-25,19
22423,2011-07-26,16
22423,2011-07-27,6
22423,2011-07-28,263
22423,2011-07-29,20
22423,2011-07-31,18
22423,2011-08-01,19
22423,2011-08-02,12
22423,2011-08-03,28
22423,2011-08-04,80
22423,2011-08-05,20
22423,2011-08-07,21
22423,2011-08-08,59
22423,2011-08-09,22
22423,2011-08-10,37
22423,2011-08-11,42
22423,2011-08-12,18
22423,2011-08-15,35
22423,2011-08-16,13
22423,2011-08-17,36
22423,2011-08-18,109
22423,2011-08-19,7
22423,2011-08-21,10
22423,2011-08-22,119
22423,2011-08-23,24
22423,2011-08-24,38
22423,2011-08-25,33
22423,2011-08-26,28
22423,2011-08-30,12
22423,2011-08-31,21
22423,2011-09-01,66
22423,2011-09-02,42
22423,2011-09-04,6
22423,2011-09-05,18
22423,2011-09-06,24
22423,2011-09-07,12
22423,2011-09-08,24
22423,2011-09-09,8
22423,2011-09-11,64
22423,2011-09-12,56
22423,2011-09-13,58
22423,2011-09-14,21
22423,2011-09-15,65
22423,2011-09-16,13
22423,2011-09-18,6
22423,2011-09-19,23
22423,2011-09-20,19
22423,2011-09-21,19
22423,2011-09-22,48
22423,2011-09-23,16
22423,2011-09-25,22
22423,2011-09-26,15
22423,2011-09-27,47
22423,2011-09-28,14
22423,2011-09-29,60
22423,2011-09-30,8
22423,2011-10-02,5
22423,2011-10-03,26
22423,2011-10-04,47
22423,2011-10-05,228
22423,2011-10-06,75
22423,2011-10-07,13
22423,2011-10-09,20
22423,2011-10-10,22
22423,2011-10-11,26
22423,2011-10-12,38
22423,2011-10-13,57
22423,2011-10-14,49
22423,2011-10-16,22
22423,2011-10-17,50
22423,2011-10-18,28
22423,2011-10-19,46
22423,2011-10-20,109
22423,2011-10-21,29
22423,2011-10-23,6
22423,2011-10-24,5
22423,2011-10-25,13
22423,2011-10-26,18
22423,2011-10-27,28
22423,2011-10-28,52
22423,2011-10-30,19
22423,2011-10-31,52
22423,2011-11-01,21
22423,2011-11-02,5
22423,2011-11-03,65
22423,2011-11-04,111
22423,2011-11-06,25
22423,2011-11-07,35
22423,2011-11-08,11
22423,2011-11-09,16
22423,2011-11-10,46
22423,2011-11-11,32
22423,2011-11-13,29
22423,2011-11-14,8
22423,2011-11-15,45
22423,2011-11-16,15
22423,2011-11-17,49
22423,2011-11-18,110
22423,2011-11-20,8
22423,2011-11-21,50
22423,2011-11-22,29
22423,2011-11-23,47
22423,2011-11-24,82
22423,2011-11-25,23
22423,2011-11-27,30
22423,2011-11-28,34
22423,2011-11-29,93
22423,2011-11-30,35
22423,2011-12-01,34
22423,2011-12-02,20
22423,2011-12-04,20
22423,2011-12-05,36
22423,2011-12-06,160
22423,2011-12-07,130
22423,2011-12-08,32
22423,2011-12-09,18
47566,2010-12-03,11
47566,2010-12-05,8
47566,2010-12-06,17
47566,2010-12-07,4
47566,2010-12-08,59
47566,2010-12-09,63
47566,2010-12-10,2
47566,2010-12-12,20
47566,2010-12-13,7
47566,2010-12-14,10
47566,2010-12-16,5
47566,2010-12-17,2
47566,2010-12-19,5
47566,2010-12-20,13
47566,2010-12-21,8
47566,2010-12-22,3
47566,2011-01-04,66
47566,2011-01-05,50
47566,2011-01-06,18
47566,2011-01-07,11
47566,2011-01-10,20
47566,2011-01-11,16
47566,2011-01-12,23
47566,2011-01-13,12
47566,2011-01-14,14
47566,2011-01-17,24
47566,2011-01-18,8
47566,2011-01-19,5
47566,2011-01-20,7
47566,2011-01-21,12
47566,2011-01-23,13
47566,2011-01-24,17
47566,2011-01-25,71
47566,2011-01-26,5
47566,2011-01-27,20
47566,2011-01-28,53
47566,2011-01-30,5
47566,2011-01-31,16
47566,2011-02-01,113
47566,2011-02-02,11
47566,2011-02-03,15
47566,2011-02-04,58
47566,2011-02-06,19
47566,2011-02-07,21
47566,2011-02-08,11
47566,2011-02-09,105
47566,2011-02-10,37
47566,2011-02-11,114
47566,2011-02-13,4
47566,2011-02-14,13
47566,2011-02-15,6
47566,2011-02-16,143
47566,2011-02-17,12
47566,2011-02-18,10
47566,2011-02-20,5
47566,2011-02-22,16
47566,2011-02-23,70
47566,2011-02-24,25
47566,2011-02-25,19
47566,2011-02-27,27
47566,2011-02-28,71
47566,2011-03-01,30
47566,2011-03-02,76
47566,2011-03-03,54
47566,2011-03-04,15
47566,2011-03-06,9
47566,2011-03-07,42
47566,2011-03-08,21
47566,2011-03-09,23
47566,2011-03-10,23
47566,2011-03-11,94
47566,2011-03-13,2
47566,2011-03-14,93
47566,2011-03-15,21
47566,2011-03-16,95
47566,2011-03-17,161
47566,2011-03-18,90
47566,2011-03-20,146
47566,2011-03-21,28
47566,2011-03-22,89
47566,2011-03-23,123
47566,2011-03-24,17
47566,2011-03-25,32
47566,2011-03-27,36
47566,2011-03-28,34
47566,2011-03-29,172
47566,2011-03-30,129
47566,2011-03-31,11
47566,2011-04-01,17
47566,2011-04-03,13
47566,2011-04-04,43
47566,2011-04-05,31
47566,2011-04-06,60
47566,2011-04-07,124
47566,2011-04-08,171
47566,2011-04-10,31
47566,2011-04-11,127
47566,2011-04-12,123
47566,2011-04-13,30
47566,2011-04-14,157
47566,2011-04-15,85
47566,2011-04-17,20
47566,2011-04-18,91
47566,2011-04-19,103
47566,2011-04-20,247
47566,2011-04-21,207
47566,2011-04-26,127
47566,2011-04-27,107
47566,2011-04-28,23
47566,2011-05-01,19
47566,2011-05-03,279
47566,2011-05-04,217
47566,2011-05-05,155
47566,2011-05-06,132
47566,2011-05-08,201
47566,2011-05-09,146
47566,2011-05-10,338
47566,2011-05-11,61
47566,2011-05-12,158
47566,2011-05-13,45
47566,2011-05-15,8
47566,2011-05-16,138
47566,2011-05-17,199
47566,2011-05-18,74
47566,2011-05-19,85
47566,2011-05-20,181
47566,2011-05-22,77
47566,2011-05-23,178
47566,2011-05-24,100
47566,2011-05-25,185
47566,2011-05-26,56
47566,2011-05-27,312
47566,2011-05-29,8
47566,2011-05-31,209
47566,2011-06-01,133
47566,2011-06-02,23
47566,2011-06-03,19
47566,2011-06-05,50
47566,2011-06-06,32
47566,2011-06-07,47
47566,2011-06-08,386
47566,2011-06-09,77
47566,2011-06-10,101
47566,2011-06-12,20
47566,2011-06-13,29
47566,2011-06-14,143
47566,2011-06-15,98
47566,2011-06-16,34
47566,2011-06-17,127
47566,2011-06-19,76
47566,2011-06-20,321
47566,2011-06-21,98
47566,2011-06-22,39
47566,2011-06-23,51
47566,2011-06-24,89
47566,2011-06-27,16
47566,2011-06-28,103
47566,2011-06-29,36
47566,2011-06-30,73
47566,2011-07-01,24
47566,2011-07-03,24
47566,2011-07-04,66
47566,2011-07-05,259
47566,2011-07-06,31
47566,2011-07-07,294
47566,2011-07-08,249
47566,2011-07-10,2
47566,2011-07-11,134
47566,2011-07-12,38
